,Country,quality_score
0,Albania,1
1,Algeria,4
2,Angola,3
3,Antigua Barb,1
4,Argentina,1
5,Australia,1
6,Bahamas,1
7,Bahrain,1
8,Bangladesh,1
9,Barbados,1
10,Belgium,3
11,Belize,1
12,Benin,4
13,Brazil,3
14,Brunei Darsm,1
15,Bulgaria,1
16,Cambodia,1
17,Cameroon,1
18,Canada,3
19,Cape Verde,1
20,Chile,2
21,China,3
22,Colombia,1
23,Comoros,2
24,Congo Dem Rep,4
25,Congo Republic,2
26,Costa Rica,2
27,Cote d'Ivoire,4
28,Croatia,1
29,Cuba,1
30,Cyprus,1
31,Denmark,3
32,Djibouti,1
33,Dominica,2
34,Dominican Rp,1
35,Ecuador,2
36,Egypt,1
37,El Salvador,1
38,Equatorial Guinea,3
39,Eritrea,4
40,Estonia,2
41,Fiji,1
42,Finland,2
43,France,3
44,Gabon,1
45,Gambia,1
46,Georgia,1
47,Germany,3
48,Ghana,3
49,Greece,3
50,Grenada,1
51,Guatemala,1
52,Guinea,3
53,Guinea-Bissau,4
54,Guyana,2
55,Haiti,4
56,Honduras,1
57,Hong Kong,1
58,Iceland,2
59,India,3
60,Indonesia,3
61,Iran,1
62,Iraq,1
63,Ireland,3
64,Israel,1
65,Italy,2
66,Jamaica,1
67,Japan,2
68,Jordan,1
69,Kenya,3
70,Kiribati,1
71,Korea D P Rp,1
72,Korea Rep,3
73,Kuwait,1
74,Latvia,2
75,Lebanon,1
76,Liberia,1
77,Lithuania,3
78,Madagascar,3
79,Malaysia,2
80,Maldives,1
81,Malta,1
82,Marshall Is,1
83,Mauritania,2
84,Mauritius,3
85,Mexico,4
86,Micronesia,2
87,Montenegro,2
88,Morocco,3
89,Mozambique,2
90,Myanmar,2
91,Namibia,1
92,Nauru,1
93,Netherlands,2
94,New Zealand,1
95,Nicaragua,1
96,Nigeria,3
97,Norway,2
98,Oman,1
99,Pakistan,1
100,Palau,1
101,Panama,1
102,Papua New Guinea,2
103,Peru,2
104,Philippines,2
105,Poland,2
106,Portugal,3
107,Qatar,1
108,Romania,1
109,Russian Federation,4
110,Samoa,1
111,Sao Tome Prn,3
112,Saudi Arabia,1
113,Senegal,3
114,Seychelles,2
115,Sierra Leone,3
116,Singapore,1
117,Slovenia,2
118,Solomon Is,1
119,Somalia,2
120,South Africa,3
121,Spain,4
122,Sri Lanka,3
123,St Kitts Nev,1
124,St Lucia,1
125,St Vincent,1
126,Sudan,2
127,Suriname,1
128,Sweden,3
129,Taiwan,1
130,Tanzania,2
131,Thailand,2
132,Togo,1
133,Tonga,1
134,Trinidad Tob,2
135,Tunisia,1
136,Turkey,2
137,Tuvalu,1
138,USA,2
139,Ukraine,1
140,United Kingdom,3
141,Untd Arab Em,1
142,Uruguay,1
143,Vanuatu,1
144,Venezuela,1
145,Viet Nam,2
146,Yemen,1
